id,name,created_at,updated_at,availability,category_id,ancestry
219,sauce nuoc nam,2017-12-15 13:37:37.227685,2019-01-29 10:37:26.29026,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
178,escalope de porc,2017-12-15 10:42:36.514016,2019-01-29 10:37:26.453273,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,510
218,piment rouge,2017-12-15 13:37:12.096356,2019-01-29 10:37:26.630258,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
215,raisin sec,2017-12-15 13:34:37.35647,2019-01-29 10:37:26.701926,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",12,
214,curry doux,2017-12-15 13:34:00.787548,2019-01-29 10:37:26.805837,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
163,côte de porc,2017-12-14 18:36:16.846054,2019-01-29 10:37:27.006168,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,510
161,escalope de veau,2017-12-14 18:34:01.877724,2019-01-29 10:37:27.194384,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,334
216,escalope de poulet,2017-12-15 13:35:25.099318,2019-01-29 10:37:27.364696,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",28,327
3,pâtes,2017-12-13 17:00:33.48966,2019-01-29 10:37:27.545867,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",20,
177,cuisse de poulet,2017-12-14 18:55:24.960907,2019-01-29 10:37:27.694119,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",28,327
213,tagliatelle fraîche,2017-12-15 13:33:32.080325,2019-01-29 10:37:27.766955,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,3
208,farfalle,2017-12-15 13:29:25.017728,2019-01-29 10:37:27.875645,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,3
189,bouillon de poisson,2017-12-15 12:53:01.663284,2019-01-29 10:37:27.981637,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
207,piment de Cayenne,2017-12-15 13:27:57.473589,2019-01-29 10:37:28.070679,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
204,piment,2017-12-15 13:23:52.180144,2019-01-29 10:37:28.236138,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
203,cumin,2017-12-15 13:23:17.943373,2019-01-29 10:37:28.416701,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
202,coriandre,2017-12-15 13:22:37.817286,2019-01-29 10:37:28.546795,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
195,estragon,2017-12-15 13:02:21.096624,2019-01-29 10:37:28.855027,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
190,cognac,2017-12-15 12:54:41.110801,2019-01-29 10:37:29.113896,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",45,
188,sole,2017-12-15 12:50:26.539709,2019-01-29 10:37:29.521614,"02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
151,reblochon,2017-12-14 18:13:16.488676,2019-01-29 10:37:29.791481,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
172,citron jaune,2017-12-14 18:46:34.081745,2019-01-29 10:37:29.961362,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",11,
164,biscotte,2017-12-14 18:37:15.759326,2019-01-29 10:37:30.087044,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
193,sardine,2017-12-15 13:00:24.708062,2019-01-29 10:37:30.3958,"04, 05, 06, 07, 08, 09, 10",25,
183,graine de lin,2017-12-15 12:39:40.111022,2019-01-29 10:37:30.665788,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
196,truite,2017-12-15 13:03:17.197989,2019-01-29 10:37:30.841935,"05, 06, 07, 08",25,
201,amande effilée,2017-12-15 13:20:07.649519,2019-01-29 10:37:31.081949,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
192,filet de hareng,2017-12-15 12:57:19.571975,2019-01-29 10:37:31.382524,"01, 02, 03, 04, 05, 09, 10, 11, 12",25,
179,lentille,2017-12-15 10:44:13.922776,2019-01-29 10:37:31.553924,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",22,
174,petit pois,2017-12-14 18:49:08.694089,2019-01-29 10:37:31.712559,"04, 05, 06, 07",22,
154,pain au lait,2017-12-14 18:18:36.956966,2019-01-29 10:37:31.916584,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
181,huile de colza,2017-12-15 10:53:07.25039,2019-01-29 10:37:32.155089,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",35,
209,olives farcies aux poivrons,2017-12-15 13:30:22.414658,2019-01-29 10:37:32.353466,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
184,graine de pavot,2017-12-15 12:39:58.016119,2019-01-29 10:37:32.463205,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
182,romarin,2017-12-15 12:39:15.423901,2019-01-29 10:37:32.586905,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
176,pomme,2017-12-14 18:55:00.92479,2019-01-29 10:37:32.698314,"01, 02, 03, 04, 10, 11, 12",11,
170,vinaigre de cidre,2017-12-14 18:43:59.74772,2019-01-29 10:37:32.840443,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
169,pavé de cabillaud,2017-12-14 18:43:24.030261,2019-01-29 10:37:33.096373,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
166,maïzena,2017-12-14 18:39:33.735305,2019-01-29 10:37:33.291442,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",19,
165,filet de colin,2017-12-14 18:37:51.21176,2019-01-29 10:37:33.555803,"05, 06, 07, 08, 09, 10, 11",26,
153,vinaigre de vin,2017-12-14 18:17:35.687846,2019-01-29 10:37:33.71787,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
12,bagel,2017-12-13 17:15:44.046531,2019-01-29 10:37:33.997369,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
233,coquillette,2017-12-15 13:57:32.611165,2019-01-29 10:37:34.19053,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,3
279,blé précuit,2017-12-18 17:03:40.013578,2019-01-29 10:37:34.365177,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,237
220,tomate pelée,2017-12-15 13:38:22.210845,2019-01-29 10:37:34.49537,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",47,5
